publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,9,Portugal,2,CICL,IPAD,Institute for Portuguese Development Aid,24.63296955,NA,non-iati
NA,9,Portugal,3,MUNIC,MUNIC,Municipalities,0.056803816,NA,non-iati
NA,9,Portugal,4,SOFID Society for Development Financ,SOFID Society for Development Financing,SOFID Sociedade para o Financiamento do Desenvolvimento,2.680112,NA,non-iati
NA,9,Portugal,99,MISC,MISC,Miscellaneous,6.48150041,NA,non-iati
Romania Ministry of Foreign Affairs,77,Romania,1,MFA,NULL,NULL,13.75804481,1.288134337,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,3,NULL,NULL,NULL,0.00522412,0.806837295,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,4,DEF,NULL,NULL,0.000895588,0.299074495,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,6,NULL,NULL,NULL,0.000852059,3.4475859,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,12,NULL,NULL,NULL,0.004046346,1.069605917,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,13,NULL,NULL,NULL,0.029828234,0.0445,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,14,JUSTICE,NULL,NULL,0.001055035,0.1120452,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,16,NULL,NULL,NULL,29.91294,0.561030339,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,18,NULL,NULL,NULL,0.000819432,135.4838512,multilateral_added
Romania Ministry of Foreign Affairs,77,Romania,20,INT,NULL,NULL,1.159223399,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,21,AGRI,NULL,NULL,0.00741476,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,22,MoH,NULL,NULL,0.6332049,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,26,NULL,NULL,NULL,0.213053496,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,28,EDUC,NULL,NULL,22.9847278,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,29,NULL,NULL,NULL,0.0115247,NA,checked
Romania Ministry of Foreign Affairs,77,Romania,31,GOV,NULL,NULL,1.12161,NA,checked
NA,69,Slovak Republic,1,MZVaEZ,NULL,NULL,2.02069,NA,non-iati
NA,69,Slovak Republic,2,SAMRS,NULL,NULL,5.12262,NA,non-iati
NA,69,Slovak Republic,3,FIN,NULL,NULL,3.43108,NA,non-iati
NA,69,Slovak Republic,4,MSVVS,NULL,NULL,3.11798,NA,non-iati
NA,69,Slovak Republic,5,INT,NULL,NULL,2.57795,NA,non-iati
